Local,time,Open,High,Low,Close,Volume
03.05.2008,20:00:00,1.5427,1.54394,1.54204,1.54345,33123.375
04.05.2008,20:00:00,1.54332,1.55196,1.54232,1.55008,866147.1875
05.05.2008,20:00:00,1.55016,1.55945,1.54495,1.55162,865517.8125
06.05.2008,20:00:00,1.55161,1.55188,1.53312,1.53416,865953.75
07.05.2008,20:00:00,1.53426,1.54407,1.52825,1.54032,865671.3125
08.05.2008,20:00:00,1.54045,1.54909,1.53889,1.54883,811952.4375
09.05.2008,20:00:00,1.54883,1.54883,1.54883,1.54883,0
10.05.2008,20:00:00,1.54831,1.54831,1.54384,1.54656,76021.0156
11.05.2008,20:00:00,1.54662,1.55699,1.53627,1.55301,861889.9375
12.05.2008,20:00:00,1.55298,1.55653,1.54275,1.54683,864942.125
13.05.2008,20:00:00,1.5471,1.5486,1.53925,1.5464,864371.6875
14.05.2008,20:00:00,1.54648,1.5547,1.54173,1.54563,863493.125
15.05.2008,20:00:00,1.54579,1.56019,1.54463,1.55724,843560.125
16.05.2008,20:00:00,1.55724,1.55724,1.55724,1.55724,0
17.05.2008,20:00:00,1.55779,1.5598,1.55687,1.55812,33370.5508
18.05.2008,20:00:00,1.55802,1.56333,1.54811,1.55264,866521.1875
19.05.2008,20:00:00,1.55259,1.56796,1.55035,1.56472,864430.625
20.05.2008,20:00:00,1.56458,1.57965,1.56287,1.57787,868732.9375
21.05.2008,20:00:00,1.5779,1.5813,1.56893,1.573,868214.3125
22.05.2008,20:00:00,1.57318,1.57939,1.56947,1.5762,846790.9375
23.05.2008,20:00:00,1.5762,1.5762,1.5762,1.5762,0
24.05.2008,20:00:00,1.57652,1.57831,1.57457,1.57776,32864.5508
25.05.2008,20:00:00,1.57769,1.5791,1.57391,1.57763,865145.8125
26.05.2008,20:00:00,1.57781,1.58178,1.56695,1.56867,864792.0625
27.05.2008,20:00:00,1.56859,1.576,1.56056,1.56545,862335.9375
28.05.2008,20:00:00,1.56545,1.5662,1.548,1.5515,860090.6875
29.05.2008,20:00:00,1.5513,1.55682,1.54594,1.55504,811128
30.05.2008,20:00:00,1.55504,1.55504,1.55504,1.55504,0
31.05.2008,20:00:00,1.55512,1.55655,1.55455,1.55564,77590.9844
01.06.2008,20:00:00,1.5557,1.55881,1.54845,1.5538,864369.6875
02.06.2008,20:00:00,1.55384,1.56275,1.54085,1.54489,861010.0625
03.06.2008,20:00:00,1.5448,1.54825,1.54157,1.5432,862259.5
04.06.2008,20:00:00,1.54323,1.56045,1.53633,1.5595,862919.875
05.06.2008,20:00:00,1.55928,1.57831,1.55691,1.57794,838852.0625
06.06.2008,20:00:00,1.57794,1.57794,1.57794,1.57794,0
07.06.2008,20:00:00,1.57831,1.57986,1.57719,1.57792,32986.1211
08.06.2008,20:00:00,1.57787,1.58432,1.5616,1.56469,861553.625
09.06.2008,20:00:00,1.56495,1.56495,1.54371,1.54574,861815.1875
10.06.2008,20:00:00,1.54582,1.55868,1.54507,1.5558,861762.8125
11.06.2008,20:00:00,1.55585,1.55628,1.53764,1.54457,860957.375
12.06.2008,20:00:00,1.54456,1.54621,1.53004,1.53773,844552.1875
13.06.2008,20:00:00,1.53773,1.53773,1.53773,1.53773,0
14.06.2008,20:00:00,1.53826,1.54126,1.53779,1.53829,33412.6953
15.06.2008,20:00:00,1.5383,1.55188,1.53433,1.54635,861788.8125
16.06.2008,20:00:00,1.54622,1.55514,1.54558,1.55152,863878.25
17.06.2008,20:00:00,1.55156,1.55513,1.54598,1.5543,860651.875
18.06.2008,20:00:00,1.55447,1.55863,1.54631,1.54961,859878.625
